legislature,session,member_id
39,2,caire-eric-485
39,2,charette-benoit-195
39,2,drainville-bernard-209
39,2,tanguay-marc-11789
39,2,bouille-marie-155
39,2,arcand-pierre-421
39,2,arsenault-damien-11497
39,2,auclair-vincent-471
39,2,aussant-jean-martin-509
39,2,bachand-claude-531
39,2,beauchamp-line-663
39,2,bedard-stephane-1457
39,2,bergeron-stephane-1443
39,2,bernier-raymond-1141
39,2,billette-stephane-1025
39,2,blais-marguerite-1263
39,2,blanchet-yves-francois-1123
39,2,bolduc-yves-297
39,2,boucher-etienne-alexis-149
39,2,boulet-julie-649
39,2,carriere-marc-177
39,2,chagnon-jacques-353
39,2,charbonneau-francine-635
39,2,charlebois-lucie-1017
39,2,chevarie-germain-1003
39,2,cloutier-alexandre-1077
39,2,corbeil-pierre-1107
39,2,cousineau-claude-925
39,2,d-amour-jean-1623
39,2,deltell-gerard-17
39,2,drolet-andre-299
39,2,dubourg-emmanuel-363
39,2,dufour-marjolain-423
39,2,dutil-robert-641
39,2,ferland-luc-685
39,2,fournier-jean-marc-3233
39,2,gaudreault-sylvain-1001
39,2,gauvreau-rene-1227
39,2,gignac-clement-1635
39,2,girard-nicolas-1253
39,2,gonthier-johanne-1365
39,2,hamad-sam-1273
39,2,hivon-veronique-27
39,2,houda-pepin-fatima-61
39,2,huot-patrick-43
39,2,james-yolande-49
39,2,kelley-geoffrey-55
39,2,khadir-amir-25
39,2,kotto-maka-41
39,2,leclair-guy-15
39,2,leger-nicole-63
39,2,lehouillier-gilles-35
39,2,lemay-martin-47
39,2,lessard-laurent-5921
39,2,mamelonet-georges-31
39,2,marceau-nicolas-7289
39,2,mckay-scott-29
39,2,st-pierre-christine-1235
39,2,moreau-pierre-359
39,2,normandeau-nathalie-1063
39,2,ouimet-francois-857
39,2,page-sylvain-987
39,2,paquet-alain-651
39,2,rotiroti-filomena-1171
39,2,charest-jean-525
39,2,poirier-carole-9
39,2,ratthe-daniel-157
39,2,rebello-francois-81
39,2,robert-gilles-183
39,2,roy-sylvie-1201
39,2,simard-serge-1239
39,2,simard-andre-9939
39,2,sklavounos-gerry-1179
39,2,st-amand-danielle-1059
39,2,st-arnaud-bertrand-1199
39,2,tomassi-tony-1317
39,2,traversy-mathieu-1303
39,2,tremblay-guillaume-1341
39,2,trottier-denis-1389
39,2,turcotte-dave-1407
39,2,vallee-stephanie-223
39,2,vien-dominique-191
39,2,villeneuve-andre-97
39,2,weil-kathleen-33
39,2,whissell-david-65
39,2,beaudoin-louise-293
39,2,bergman-lawrence-s-1419
39,2,gagnon-tremblay-monique-725
39,2,gendron-francois-1423
39,2,macmillan-norman-67
39,2,malavoy-marie-255
39,2,marcoux-yvon-53
39,2,marsan-pierre-59
39,2,beaudoin-denise-727
39,2,champagne-noella-229
39,2,diamond-jean-paul-189
39,2,grondin-janvier-1337
39,2,lapointe-lisette-45
39,2,matte-michel-39
39,2,menard-nicole-113
39,2,morin-norbert-499
39,2,pelletier-irvin-821
39,2,pelletier-emilien-441
39,2,pigeon-michel-427
39,2,pinard-claude-1115
39,2,richard-monique-409
39,2,richer-roland-11785
39,2,simard-sylvain-729
39,2,vallieres-yvon-1659
39,2,curzi-pierre-1135
39,2,marois-pauline-79
39,2,gautrin-henri-francois-1051
39,2,doyer-danielle-91
39,2,picard-marc-655
39,2,gaudreault-maryse-959
39,2,paradis-pierre-1113
39,2,theriault-lise-1355
39,2,ouellet-martine-8431
39,2,bernard-daniel-13
39,2,berube-pascal-991
39,2,maltais-agnes-57
39,2,bonnardel-francois-11
39,2,bachand-raymond-565
39,2,courchesne-michelle-859
39,1,legault-francois-4131
39,1,dumont-mario-3041
39,1,dupuis-jacques-p-475
39,1,jerome-forget-monique-3707
39,1,ouellette-guy-549
39,1,richard-lorraine-287
39,1,caire-eric-485
39,1,charette-benoit-195
39,1,drainville-bernard-209
39,1,bouille-marie-155
39,1,arcand-pierre-421
39,1,auclair-vincent-471
39,1,aussant-jean-martin-509
39,1,bachand-claude-531
39,1,beauchamp-line-663
39,1,bechard-claude-887
39,1,bedard-stephane-1457
39,1,bergeron-stephane-1443
39,1,bernier-raymond-1141
39,1,billette-stephane-1025
39,1,blais-marguerite-1263
39,1,blanchet-yves-francois-1123
39,1,bolduc-yves-297
39,1,boucher-etienne-alexis-149
39,1,boulet-julie-649
39,1,carriere-marc-177
39,1,chagnon-jacques-353
39,1,charbonneau-francine-635
39,1,charlebois-lucie-1017
39,1,chevarie-germain-1003
39,1,cloutier-alexandre-1077
39,1,corbeil-pierre-1107
39,1,cousineau-claude-925
39,1,d-amour-jean-1623
39,1,deltell-gerard-17
39,1,drolet-andre-299
39,1,dubourg-emmanuel-363
39,1,dufour-marjolain-423
39,1,dutil-robert-641
39,1,ferland-luc-685
39,1,fournier-jean-marc-3233
39,1,gaudreault-sylvain-1001
39,1,gauvreau-rene-1227
39,1,gignac-clement-1635
39,1,girard-nicolas-1253
39,1,gonthier-johanne-1365
39,1,hamad-sam-1273
39,1,hivon-veronique-27
39,1,houda-pepin-fatima-61
39,1,huot-patrick-43
39,1,james-yolande-49
39,1,kelley-geoffrey-55
39,1,khadir-amir-25
39,1,kotto-maka-41
39,1,leclair-guy-15
39,1,leger-nicole-63
39,1,lehouillier-gilles-35
39,1,lemay-martin-47
39,1,lessard-laurent-5921
39,1,mamelonet-georges-31
39,1,marceau-nicolas-7289
39,1,mckay-scott-29
39,1,st-pierre-christine-1235
39,1,moreau-pierre-359
39,1,normandeau-nathalie-1063
39,1,ouimet-francois-857
39,1,page-sylvain-987
39,1,paquet-alain-651
39,1,rotiroti-filomena-1171
39,1,charest-jean-525
39,1,poirier-carole-9
39,1,ratthe-daniel-157
39,1,rebello-francois-81
39,1,robert-gilles-183
39,1,roy-sylvie-1201
39,1,simard-serge-1239
39,1,simard-andre-9939
39,1,sklavounos-gerry-1179
39,1,st-amand-danielle-1059
39,1,st-arnaud-bertrand-1199
39,1,tomassi-tony-1317
39,1,traversy-mathieu-1303
39,1,tremblay-guillaume-1341
39,1,trottier-denis-1389
39,1,turcotte-dave-1407
39,1,vallee-stephanie-223
39,1,vien-dominique-191
39,1,villeneuve-andre-97
39,1,weil-kathleen-33
39,1,whissell-david-65
39,1,beaudoin-louise-293
39,1,bergman-lawrence-s-1419
39,1,l-ecuyer-charlotte-51
39,1,gagnon-tremblay-monique-725
39,1,gendron-francois-1423
39,1,reid-pierre-329
39,1,macmillan-norman-67
39,1,malavoy-marie-255
39,1,marcoux-yvon-53
39,1,marsan-pierre-59
39,1,beaudoin-denise-727
39,1,bouchard-camil-93
39,1,champagne-noella-229
39,1,diamond-jean-paul-189
